system:index,date,.geo
20220322T083021_20220322T091927,2022-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323T081021_20220323T090027,2022-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323T081521_20220323T090633,2022-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220324T075021_20220324T084127,2022-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220324T075521_20220324T084731,2022-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220325T073021_20220325T082057,2022-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220325T073521_20220325T082630,2022-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326T071021_20220326T080109,2022-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326T071521_20220326T080956,2022-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326T085521_20220326T093935,2022-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327T083521_20220327T092629,2022-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327T084021_20220327T092801,2022-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220328T081521_20220328T090726,2022-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220328T082021_20220328T091400,2022-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220329T075521_20220329T084730,2022-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220329T080021_20220329T085401,2022-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220330T074021_20220330T082637,2022-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331T072021_20220331T081056,2022-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331T090021_20220331T094827,2022-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401T070521_20220401T075625,2022-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401T084021_20220401T093126,2022-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401T084521_20220401T093230,2022-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220402T082021_20220402T091157,2022-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220402T082521_20220402T091629,2022-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220403T080521_20220403T085602,2022-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404T074521_20220404T083530,2022-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404T075021_20220404T084100,2022-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405T072521_20220405T081600,2022-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405T073021_20220405T082128,2022-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405T090521_20220405T095302,2022-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406T071021_20220406T080529,2022-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406T084521_20220406T093656,2022-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406T085021_20220406T094129,2022-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220407T083021_20220407T092602,2022-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408T081021_20220408T085856,2022-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408T081521_20220408T090356,2022-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220409T075021_20220409T083801,2022-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220409T075521_20220409T084555,2022-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410T073021_20220410T082124,2022-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410T073521_20220410T082748,2022-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411T071021_20220411T080321,2022-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411T071521_20220411T080957,2022-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411T085521_20220411T094925,2022-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412T083521_20220412T092420,2022-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412T084021_20220412T092948,2022-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220413T081521_20220413T090150,2022-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220413T082021_20220413T090918,2022-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220414T075521_20220414T084656,2022-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220414T080021_20220414T085329,2022-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415T073844_20220415T082726,2022-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415T074344_20220415T083618,2022-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
